img_name,label,category,image_path
25.jpg,25,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\25.jpg
27.jpg,27,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\27.jpg
28.jpg,28,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\28.jpg
30.jpg,30,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\30.jpg
30(1).jpg,30,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\30(1).jpg
31.jpg,31,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\31.jpg
32.jpg,32,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\32.jpg
32(1).jpg,32,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\32(1).jpg
33.jpg,33,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\33.jpg
33(1).jpg,33,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\33(1).jpg
33(2).jpg,33,Depression,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\33(2).jpg
34.jpg,34,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\34.jpg
35.jpg,35,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\35.jpg
35(1).jpg,35,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\35(1).jpg
35(2).jpg,35,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\35(2).jpg
35(3).jpg,35,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\35(3).jpg
36.jpg,36,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\36.jpg
36(1).jpg,36,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\36(1).jpg
